Date,C,GDOT,JPM,PYPL,SP500,unemployment,cpi
2020-10-21,43.009997999999996,58.970001,99.370003,213.07000699999998,3435.5600590000004,4.1,247.86700000000002
2020-10-22,43.950001,58.68,102.879997,203.929993,3453.48999,4.1,248.99099999999999
2020-10-23,43.950001,59.779999,103.809998,203.03999299999998,3465.389893,4.0,249.554
2020-10-26,43.259997999999996,57.75,101.239998,197.220001,3400.969971,4.0,250.546
2020-10-27,41.880001,57.330002,99.33000200000001,200.429993,3390.679932,3.8,251.588
2020-10-28,41.130001,55.5,96.540001,192.309998,3271.030029,4.0,251.989
2020-10-29,41.66,56.080002,97.16999799999999,195.03999299999998,3310.110107,3.8,252.00599999999997
2020-10-30,41.419998,53.32,98.040001,186.130005,3269.959961,3.8,252.146
2020-11-02,42.209998999999996,52.779999,100.25,187.759995,3310.23999,3.7,252.43900000000002
2020-11-03,43.529999,55.84,103.410004,179.809998,3369.1599119999996,3.8,252.885
2020-11-04,42.080002,55.0,100.25,194.28999299999998,3443.4399409999996,3.7,252.03799999999998
2020-11-05,43.07,54.099998,104.349998,204.559998,3510.4499509999996,3.9,251.233
2020-11-06,42.709998999999996,55.529999,102.959999,202.729996,3509.4399409999996,4.0,251.71200000000002
2020-11-09,47.639998999999996,54.369999,116.900002,184.720001,3550.5,3.8,252.77599999999998
2020-11-10,47.650002,54.630001,116.519997,183.360001,3545.530029,3.8,254.202
2020-11-11,48.93,55.759997999999996,114.779999,192.33999599999999,3572.6599119999996,3.6,255.548
2020-11-12,48.279999,55.32,113.370003,189.100006,3537.01001,3.6,256.092
2020-11-13,48.66,54.130001,114.08000200000001,188.619995,3585.149902,3.7,256.143
2020-11-16,50.400002,53.779999,117.300003,191.940002,3626.9099119999996,3.7,256.57099999999997
2020-11-17,50.73,52.810001,116.110001,192.300003,3609.530029,3.7,256.558
2020-11-18,51.049999,52.189999,115.25,190.119995,3567.790039,3.5,256.759
2020-11-19,52.139998999999996,54.459998999999996,115.559998,190.899994,3581.8701170000004,3.6,257.346
2020-11-20,51.650002,56.869999,114.57,192.669998,3557.540039,3.5,257.20799999999997
2020-11-23,53.299999,57.259997999999996,117.870003,200.820007,3577.5900880000004,3.5,256.974
2020-11-24,57.060001,55.669998,123.32,206.0,3635.4099119999996,3.6,257.971
2020-11-25,57.060001,56.959998999999996,122.029999,214.460007,3629.649902,3.5,258.678
2020-11-27,56.669998,56.02,121.220001,211.38999900000002,3638.350098,4.4,258.115
2020-11-30,55.07,53.560001,117.879997,214.11999500000002,3621.6298829999996,14.7,256.389
2020-12-01,55.470001,53.790001000000004,119.739998,216.539993,3662.4499509999996,13.3,256.394
2020-12-02,57.200001,52.290001000000004,122.040001,212.559998,3669.01001,11.1,257.797
2020-12-03,56.580002,53.77,121.239998,214.539993,3666.719971,10.2,259.101
2020-12-04,58.619999,55.279999,122.339996,217.770004,3699.1201170000004,8.4,259.918
2020-12-07,58.130001,55.73,121.879997,217.92999300000002,3691.959961,7.9,260.28
2020-12-08,58.360001000000004,56.810001,122.0,216.940002,3702.25,6.9,260.388
2020-12-09,58.950001,57.790001000000004,121.050003,210.80000299999998,3672.820068,6.7,260.22900000000004
