Date,SHOP,ETSY,WIX,GDDY,SP500,unemployment,cpi
2018-01-31,116.19428642857143,19.793333333333333,60.478571619047614,52.118095000000004,2789.8038156190473,4.1,247.86700000000002
2018-02-28,130.48842105263157,20.059473789473685,68.46052663157894,55.60210531578947,2705.1552477368423,4.1,248.99099999999999
2018-03-31,141.71285685714287,27.33619033333333,81.36190552380954,61.84904738095239,2702.7738211428564,4.0,249.554
2018-04-30,122.55619090476189,29.227142857142855,83.42380923809525,62.34857104761903,2653.6252092857144,4.0,250.546
2018-05-31,141.41090845454548,30.174545363636366,84.85681809090907,68.97318159090909,2701.4936190909084,3.8,251.588
2018-06-30,160.6323809047619,38.359047714285715,99.3809528095238,72.67857171428571,2754.3528878571433,4.0,251.989
2018-07-31,161.9971409047619,43.05428580952381,104.81190414285713,76.18666695238095,2793.643357,3.8,252.00599999999997
2018-08-31,141.58826008695652,45.80913065217391,103.75434760869565,76.6760870869565,2857.820429217391,3.8,252.146
2018-09-30,154.61947473684214,49.60947336842106,113.29473673684211,81.86210431578945,2901.5005141052634,3.7,252.43900000000002
2018-10-31,138.45260882608696,43.03000008695652,99.79652139130438,75.41826086956522,2785.4647800434786,3.8,252.885
2018-11-30,143.08428519047618,47.605237714285714,93.90857185714287,65.2533337142857,2723.2314221904758,3.7,252.03799999999998
2018-12-31,140.99157873684214,51.34684163157895,88.60157836842106,63.40000010526317,2567.3073858421058,3.9,251.233
2019-01-31,152.42523842857142,52.84142890476191,100.40857200000002,64.13571447619049,2607.3899972380955,4.0,251.71200000000002
2019-02-28,178.31579100000002,57.07368421052631,113.553158,72.14894742105264,2754.86420631579,3.8,252.77599999999998
2019-03-31,199.09809361904766,68.90714314285714,112.36714285714288,74.8557135238095,2803.9837935714286,3.8,254.202
2019-04-30,213.80238047619045,66.9952387142857,124.51904880952381,78.12904795238094,2903.799979047619,3.6,255.548
2019-05-31,266.5018158636363,64.01409104545455,137.72363559090908,76.48045381818184,2854.7059104545456,3.6,256.092
2019-06-30,302.3629974500001,64.85700000000001,142.85799945000002,71.39049990000001,2890.1659790500003,3.7,256.143
2019-07-31,321.60818063636356,65.98318168181818,145.14181927272728,72.83545495454544,2996.1136363636365,3.7,256.57099999999997
2019-08-31,366.72954631818175,55.1427275909091,145.28500009090908,64.55727259090908,2897.4504505454543,3.7,256.558
2019-09-30,338.60700375,54.93700015,125.54600105000002,65.73249969999999,2982.1560058500004,3.5,256.759
2019-10-31,320.36913126086955,56.50152156521739,121.3760866956522,63.49565234782609,2977.675197521739,3.6,257.346
2019-11-30,313.22550205000005,42.35100025,126.15449944999997,67.64699950000002,3104.9044922500007,3.5,257.20799999999997
2019-12-31,381.47809566666666,42.964761476190475,119.9121430952381,67.51047666666669,3176.7495118095235,3.5,256.974
2020-01-31,445.30809823809517,48.41285776190476,138.93190519047616,70.65666638095237,3278.202857666666,3.6,257.971
2020-02-29,496.21578494736855,52.121579000000004,142.79158015789474,72.19473705263158,3277.3141832631577,3.5,258.678
2020-03-31,416.7549993636363,46.43272727272726,112.05454627272725,56.694545318181824,2652.3936323636362,4.4,258.115
2020-04-30,518.5338120000001,56.417619428571435,119.88380980952385,63.06381028571429,2761.975225571429,14.7,256.389
2020-05-31,740.44300245,77.00174939999998,179.03249940000003,74.05300109999999,2919.6084838000006,13.3,256.394
2020-06-30,819.5650025000002,87.99363709090909,230.64772795454545,78.14090831818181,3104.660933090909,11.1,257.797
2020-07-31,989.0168152727274,107.66227227272725,278.31227245454534,70.17681818181819,3207.619096227272,10.2,259.101
2020-08-31,1035.7447654285713,128.43333404761904,289.1099969523809,80.06047595238097,3391.7100190952383,8.4,259.918
2020-09-30,957.9599959047619,115.55071433333333,259.5695233809523,76.1742861904762,3365.5166713809526,7.9,260.28
2020-10-31,1049.2695479545457,140.51658968181817,273.44682031818184,75.44863700000002,3418.699995681818,6.9,260.388
2020-11-30,966.4669985,135.31649965000003,255.47149959999996,75.4014999,3548.99248035,6.7,260.22900000000004
